Airline,Days from Purchase to Travel,Fare Type,Número de registros,Passenger Email,Person-1,Person,Purchase Date,Purchase Day,Origin,Destination,Route,Row ID,Ticket Price,Travel Date,TravelDay,Trips,Type of Traveler,Insure,Sex
Southwest,71,First Class,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,24/04/2019,miércoles,DAL,HOU,DAL-HOU,1,246,04/07/2019,jueves,9,Casual,True,M
Southwest,26,Economy,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,08/06/2019,sábado,DAL,GRR,DAL-GRR,1,140,04/07/2019,jueves,9,Casual,True,M
Southwest,45,Economy,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,23/08/2017,miércoles,DAL,MDW,DAL-MDW,1,70,07/10/2017,sábado,9,Casual,False,M
Southwest,24,Economy,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,12/03/2016,sábado,DAL,HOU,DAL-HOU,1,84,05/04/2016,martes,9,Casual,False,M
Southwest,11,Economy,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,25/03/2016,viernes,DAL,GRR,DAL-GRR,1,148,05/04/2016,martes,9,Casual,False,M
Southwest,71,First Class,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,24/04/2019,miércoles,DAL,HOU,DAL-HOU,1,246,04/07/2019,jueves,9,Casual,False,M
Southwest,24,Economy,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,12/03/2016,sábado,DAL,HOU,DAL-HOU,1,84,05/04/2016,martes,9,Casual,False,M
American Airlines,55,First Class,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,10/05/2019,viernes,DFW,SEA,DFW-SEA,1161,476,04/07/2019,jueves,9,Casual,False,M
United,64,Economy,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,03/01/2018,miércoles,DFW,HIO,DFW-HIO,5202,354,08/03/2018,jueves,9,Casual,False,M
American Airlines,55,First Class,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,10/05/2019,viernes,DFW,SEA,DFW-SEA,1161,476,04/07/2019,jueves,9,Casual,False,M
American Airlines,11,Economy,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,09/09/2016,viernes,DFW,MCO,DFW-MCO,7470,341,20/09/2016,martes,9,Casual,False,M
Delta,83,Economy,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,16/07/2017,domingo,DFW,JFK,DFW-JFK,1300,290,07/10/2017,sábado,9,Casual,False,M
Southwest,26,Economy,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,08/06/2019,sábado,DAL,GRR,DAL-GRR,1,140,04/07/2019,jueves,9,Casual,False,M
Southwest,11,Economy,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,25/03/2016,viernes,DAL,GRR,DAL-GRR,1,148,05/04/2016,martes,9,Casual,False,M
Southwest,45,Economy,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,23/08/2017,miércoles,DAL,MDW,DAL-MDW,1,70,07/10/2017,sábado,9,Casual,False,M
Delta,83,Economy,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,16/07/2017,domingo,DFW,JFK,DFW-JFK,1300,290,07/10/2017,sábado,9,Casual,False,M
American Airlines,11,Economy,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,09/09/2016,viernes,DFW,MCO,DFW-MCO,7470,341,20/09/2016,martes,9,Casual,False,M
United,64,Economy,1,abergman@vizpainter.com,Aaron Bergman,Aaron Bergman,03/01/2018,miércoles,DFW,HIO,DFW-HIO,5202,354,08/03/2018,jueves,9,Casual,False,M
Southwest,60,Business,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,17/09/2018,lunes,DAL,AUS,DAL-AUS,2,139,16/11/2018,viernes,9,Casual,False,M
Southwest,17,Economy,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,30/10/2018,martes,DAL,LGA,DAL-LGA,2,135,16/11/2018,viernes,9,Casual,False,M
Southwest,32,Economy,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,14/06/2018,jueves,DAL,MDW,DAL-MDW,2,65,16/07/2018,lunes,9,Casual,False,M
Southwest,23,Economy,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,24/10/2018,miércoles,DAL,HOU,DAL-HOU,2,139,16/11/2018,viernes,9,Casual,False,M
Southwest,81,Economy,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,20/02/2017,lunes,DAL,ATL,DAL-ATL,2,64,12/05/2017,viernes,9,Casual,False,M
Southwest,55,Economy,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,04/09/2016,domingo,DAL,HOU,DAL-HOU,2,77,29/10/2016,sábado,9,Casual,False,M
Southwest,23,Economy,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,24/10/2018,miércoles,DAL,HOU,DAL-HOU,2,139,16/11/2018,viernes,9,Casual,False,M
Southwest,55,Economy,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,04/09/2016,domingo,DAL,HOU,DAL-HOU,2,77,29/10/2016,sábado,9,Casual,False,M
Delta,29,Business,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,17/06/2018,domingo,DFW,JFK,DFW-JFK,536,334,16/07/2018,lunes,9,Casual,False,M
Delta,105,Economy,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,01/09/2019,domingo,DFW,SAN,DFW-SAN,6750,303,15/12/2019,domingo,9,Casual,False,M
Delta,10,Business,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,06/11/2018,martes,DFW,COS,DFW-COS,2265,189,16/11/2018,viernes,9,Casual,False,M
Southwest,60,Business,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,17/09/2018,lunes,DAL,AUS,DAL-AUS,2,139,16/11/2018,viernes,9,Casual,False,M
Southwest,81,Economy,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,20/02/2017,lunes,DAL,ATL,DAL-ATL,2,64,12/05/2017,viernes,9,Casual,False,M
Southwest,17,Economy,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,30/10/2018,martes,DAL,LGA,DAL-LGA,2,135,16/11/2018,viernes,9,Casual,False,M
Delta,105,Economy,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,01/09/2019,domingo,DFW,SAN,DFW-SAN,6750,303,15/12/2019,domingo,9,Casual,False,M
Southwest,32,Economy,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,14/06/2018,jueves,DAL,MDW,DAL-MDW,2,65,16/07/2018,lunes,9,Casual,False,M
Delta,29,Business,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,17/06/2018,domingo,DFW,JFK,DFW-JFK,536,334,16/07/2018,lunes,9,Casual,False,M
Delta,10,Business,1,ahawkins@vizpainter.com,Aaron Hawkins,Aaron Hawkins,06/11/2018,martes,DFW,COS,DFW-COS,2265,189,16/11/2018,viernes,9,Casual,False,M
Southwest,35,Economy,1,asmayling@vizpainter.com,Aaron Smayling,Aaron Smayling,16/03/2019,sábado,DAL,AUS,DAL-AUS,3,139,20/04/2019,sábado,3,Infrequent,True,M
Southwest,11,Economy,1,asmayling@vizpainter.com,Aaron Smayling,Aaron Smayling,23/04/2016,sábado,DAL,OKC,DAL-OKC,3,112,04/05/2016,miércoles,3,Infrequent,False,M
Delta,125,Economy,1,asmayling@vizpainter.com,Aaron Smayling,Aaron Smayling,30/04/2018,lunes,DFW,COS,DFW-COS,7703,91,02/09/2018,domingo,3,Infrequent,False,M
Southwest,35,Economy,1,asmayling@vizpainter.com,Aaron Smayling,Aaron Smayling,16/03/2019,sábado,DAL,AUS,DAL-AUS,3,139,20/04/2019,sábado,3,Infrequent,False,M
Delta,125,Economy,1,asmayling@vizpainter.com,Aaron Smayling,Aaron Smayling,30/04/2018,lunes,DFW,COS,DFW-COS,7703,91,02/09/2018,domingo,3,Infrequent,False,M
Southwest,11,Economy,1,asmayling@vizpainter.com,Aaron Smayling,Aaron Smayling,23/04/2016,sábado,DAL,OKC,DAL-OKC,3,112,04/05/2016,miércoles,3,Infrequent,False,M
United,19,Economy,1,abellavance@vizpainter.com,Adam Bellavance,Adam Bellavance,20/08/2018,lunes,DFW,CMH,DFW-CMH,6040,228,08/09/2018,sábado,2,Infrequent,False,M
United,45,Business,1,abellavance@vizpainter.com,Adam Bellavance,Adam Bellavance,19/10/2016,miércoles,DFW,MCO,DFW-MCO,8005,266,03/12/2016,sábado,2,Infrequent,False,M
United,19,Economy,1,abellavance@vizpainter.com,Adam Bellavance,Adam Bellavance,20/08/2018,lunes,DFW,CMH,DFW-CMH,6040,228,08/09/2018,sábado,2,Infrequent,False,M
United,45,Business,1,abellavance@vizpainter.com,Adam Bellavance,Adam Bellavance,19/10/2016,miércoles,DFW,MCO,DFW-MCO,8005,266,03/12/2016,sábado,2,Infrequent,False,M
Southwest,67,Economy,1,ahart@vizpainter.com,Adam Hart,Adam Hart,01/01/2016,viernes,DAL,LAS,DAL-LAS,5,88,08/03/2016,martes,4,Infrequent,False,M
Southwest,26,First Class,1,ahart@vizpainter.com,Adam Hart,Adam Hart,11/02/2016,jueves,DAL,ATL,DAL-ATL,5,213,08/03/2016,martes,4,Infrequent,False,M
Southwest,82,Business,1,ahart@vizpainter.com,Adam Hart,Adam Hart,17/12/2015,jueves,DAL,MDW,DAL-MDW,5,89,08/03/2016,martes,4,Infrequent,False,M
United,21,Economy,1,ahart@vizpainter.com,Adam Hart,Adam Hart,16/02/2016,martes,DFW,JFK,DFW-JFK,4964,290,08/03/2016,martes,4,Infrequent,False,M
Southwest,26,First Class,1,ahart@vizpainter.com,Adam Hart,Adam Hart,11/02/2016,jueves,DAL,ATL,DAL-ATL,5,213,08/03/2016,martes,4,Infrequent,False,M
Southwest,82,Business,1,ahart@vizpainter.com,Adam Hart,Adam Hart,17/12/2015,jueves,DAL,MDW,DAL-MDW,5,89,08/03/2016,martes,4,Infrequent,False,M
United,21,Economy,1,ahart@vizpainter.com,Adam Hart,Adam Hart,16/02/2016,martes,DFW,JFK,DFW-JFK,4964,290,08/03/2016,martes,4,Infrequent,False,M
Southwest,67,Economy,1,ahart@vizpainter.com,Adam Hart,Adam Hart,01/01/2016,viernes,DAL,LAS,DAL-LAS,5,88,08/03/2016,martes,4,Infrequent,False,M
Southwest,15,Economy,1,ashillingsburg@vizpainter.com,Adam Shillingsburg,Adam Shillingsburg,19/08/2018,domingo,DAL,AUS,DAL-AUS,6,90,03/09/2018,lunes,7,Casual,False,M
Southwest,16,Economy,1,ashillingsburg@vizpainter.com,Adam Shillingsburg,Adam Shillingsburg,18/08/2018,sábado,DAL,HOU,DAL-HOU,6,94,03/09/2018,lunes,7,Casual,False,M
Southwest,75,Economy,1,ashillingsburg@vizpainter.com,Adam Shillingsburg,Adam Shillingsburg,20/06/2018,miércoles,DAL,AUS,DAL-AUS,6,76,03/09/2018,lunes,7,Casual,False,M
Southwest,43,Business,1,ashillingsburg@vizpainter.com,Adam Shillingsburg,Adam Shillingsburg,22/07/2018,domingo,DAL,HOU,DAL-HOU,6,153,03/09/2018,lunes,7,Casual,False,M
Southwest,28,Business,1,ashillingsburg@vizpainter.com,Adam Shillingsburg,Adam Shillingsburg,06/08/2018,lunes,DAL,LGA,DAL-LGA,6,107,03/09/2018,lunes,7,Casual,False,M
United,45,Economy,1,ashillingsburg@vizpainter.com,Adam Shillingsburg,Adam Shillingsburg,29/09/2019,domingo,DFW,SLC,DFW-SLC,8170,401,13/11/2019,miércoles,7,Casual,False,M
Southwest,16,Economy,1,ashillingsburg@vizpainter.com,Adam Shillingsburg,Adam Shillingsburg,18/08/2018,sábado,DAL,HOU,DAL-HOU,6,94,03/09/2018,lunes,7,Casual,False,M
Southwest,43,Business,1,ashillingsburg@vizpainter.com,Adam Shillingsburg,Adam Shillingsburg,22/07/2018,domingo,DAL,HOU,DAL-HOU,6,153,03/09/2018,lunes,7,Casual,False,M
United,45,Economy,1,ashillingsburg@vizpainter.com,Adam Shillingsburg,Adam Shillingsburg,29/09/2019,domingo,DFW,SLC,DFW-SLC,8170,401,13/11/2019,miércoles,7,Casual,False,M
United,13,Business,1,ashillingsburg@vizpainter.com,Adam Shillingsburg,Adam Shillingsburg,21/08/2018,martes,DFW,COS,DFW-COS,353,218,03/09/2018,lunes,7,Casual,False,M
Southwest,15,Economy,1,ashillingsburg@vizpainter.com,Adam Shillingsburg,Adam Shillingsburg,19/08/2018,domingo,DAL,AUS,DAL-AUS,6,90,03/09/2018,lunes,7,Casual,False,M
Southwest,75,Economy,1,ashillingsburg@vizpainter.com,Adam Shillingsburg,Adam Shillingsburg,20/06/2018,miércoles,DAL,AUS,DAL-AUS,6,76,03/09/2018,lunes,7,Casual,False,M
Southwest,28,Business,1,ashillingsburg@vizpainter.com,Adam Shillingsburg,Adam Shillingsburg,06/08/2018,lunes,DAL,LGA,DAL-LGA,6,107,03/09/2018,lunes,7,Casual,False,M
United,13,Business,1,ashillingsburg@vizpainter.com,Adam Shillingsburg,Adam Shillingsburg,21/08/2018,martes,DFW,COS,DFW-COS,353,218,03/09/2018,lunes,7,Casual,False,M
Southwest,28,Economy,1,abarton@vizpainter.com,Adrian Barton,Adrian Barton,26/10/2019,sábado,DAL,HOU,DAL-HOU,7,105,23/11/2019,sábado,7,Casual,True,M
